|AIM                 |Aol Instant Message Button |
|Amazon Wish List    |Amazon Wish List Button |
|AOL Mail            |AOL Mail Button |
|Baidu               |Baidu Button |
|Balatarin           |Balatarin Button - A Persian language social and political link-sharing website aimed primarily at Iranian audiences. |
|BibSonomy           |BibSonomy Button - A social bookmarking and publication sharing system. |
|Bitty Browser       |Bitty Browser Button - Helps you keep track of your favorite Web stuff by enalbing navigable windows directly within your favorite sites. |
|Blinklist           |Blinklist Button - Blinklist provides information and reviews on web and mobile start-ups. |
|Blogger Post        |Blogger Post Button - Blogger is a blog-publishing service. |
|BlogMarks           |BlogMarks Button - A social bookmarks manager that allows categorization via custom tags. |
|Bookmarks.fr        |Bookmarks.fr Button - Bookmarks on your site targeted at French users. |
|Box.net             |Box.net Button - Share via Box.net |
|BuddyMarks          |BuddyMarks Button - An Online Bookmark Manager. |
|Buffer              |Buffer Button - An application for the web designed to manage accounts in social networks, by allowing a user to schedule posts to Twitter, Facebook and other social networks. |
|Care2 News          |Care2 News Button - A social networking site designed to connect activists from around the world with other individuals, organizations and businesses making an impact. |
|CiteULike           |CiteULike Button - Web service which allows users to save and share citations to academic papers. |
|Copy Link           |Copy Link Button - Copies the content link to your clipboard. |
|Delicious           |Delicious Button - A social bookmarking site for storing, sharing and discovering web bookmarks. |
|Design Float        |Design Float Button - Web design news and tips. |
|Diary.Ru            |Diary.Ru Button - Online diary in RuNet. |
|Diaspora            |Diaspora Button - A nonprofit distributed social network based on the free Diaspora software. |
|Digg                |Digg Button - A news aggregator. |
|Diigo               |Diigo Button - A social bookmarking website that allows signed-up users to bookmark and tag Web pages. Additionally, it allows users to highlight any part of a webpage and attach sticky notes to specific highlights or to a whole page. |
|Douban              |Douban Button - A Chinese social networking service website allowing registered users to record information and create content related to film, books, music, recent events and activities in Chinese cities. |
|Draugiem            |Draugiem Button - A social networking website that is the largest social networking website in Latvia. The website plays an important role in the everyday life of internet users in Latvia, and is frequently used as a communication tool instead of e-mail. |
|DZone               |DZone Button - Serves technology professionals with the knowledge, tools, and strategies they need to build the future. |
|Email               |Email Button - Send content link / description via email. |
|Evernote            |Evernote Button - Send content link / description to Evernote. |
|Facebook            |Facebook Button - Post content to Facebook |
|Facebook Messenger  |Facebook Messenger Button - Send content link / description via Facebook Messenger. |
|Fark                |Fark Button - Share via Fark - Allows members to comment on a daily batch of news articles and other items from various websites. |
|Flipboard           |Flipboard Button - A news aggregation and social network aggregation service. |
|Folkd               |Folkd Button - A social bookmarking service. |
|Google+             |Google+ Button - Share via Google Plus |
|Google Bookmarks    |Google Bookmarks Button - Save to Google bookmarks |
|Google Classroom    |Google Classroom Button - Share via Google Classroom |
|Google Gmail        |Google Gmail Button - Send content link / description via Gmail. |
|Hacker News         |Hacker News Button - A social news website focusing on computer science and entrepreneurship. |
|Hatena              |Hatena Button - A free blogging service. |
|Instapaper          |Instapaper Button - a bookmarking service that allows web content to be saved so it can be read later on a different device, such as an e-reader, smartphone, tablet. |
|Jamespot            |Jamespot Button - A French corporate social network. |
|Kakao               |Kakao Button - A South Korean internet company /server. |
|Kindle It           |Kindle It Button - Lets you send web articles to your Kindle app or device for a better reading experience. |
|Known               |Known Button - A social learning platform |
|Line                |Line Button - Free Messaging, Whenever, Wherever |
|LinkedIn            |LinkedIn Button -  a business and employment-oriented social networking service. |
|LiveJournal         |LiveJournal Button -  A social networking service where Internet users can keep a blog, journal or diary. |
|Mail.Ru             |Mail.Ru Button - Russian Social Networking Site. |
|Mendeley            |Mendeley Button - A site for sharing research papers, discovering research data and collaborating online. |
|Meneame             |Meneame Button - A Spanish social news website based on community participation, made for users to discover and share content on the Internet, by submitting links, which are voted and commented upon. |
|Mixi                |Mixi Button - An online Japanese social networking service. |
|MySpace             |MySpace Button - A social networking website offering an interactive, user-submitted network of friends, personal profiles, blogs, groups, photos, music, and videos. |
|Netvouz             |Netvouz Button - A social bookmarking service that allows you to save your favorite links online and access them from any computer, wherever you are. |
|NewsVine            |NewsVine Button - A community-powered, collaborative journalism news website which draws content from its users and syndicated content from mainstream sources such as The Associated Press. |
|NUjij               |NUjij Button - Dutch social sharing site. |
|Odnoklassniki       |Odnoklassniki Button - A social network service for classmates and old friends. It is popular in the Russian Federation and former Soviet Republics. |
|Oknotizie           |Oknotizie Button - Italian Social Sharing |
|Outlook.com         |Outlook.com Button - Share via Outlook.com |
